timestamp,sender,receiver,message_type,content
40,AGV 2,UAV 1,CHARGING_START,Start charging
40,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.2%"
40,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
40,AGV 2,UAV 2,CHARGING_START,Start charging
41,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 16.8%"
41,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
41,AGV 2,UAV 1,CHARGING_START,Start charging
41,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 14.7%"
41,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
41,AGV 2,UAV 2,CHARGING_START,Start charging
42,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 17.7%"
42,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
42,AGV 2,UAV 1,CHARGING_START,Start charging
42,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 17.3%"
42,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
42,AGV 2,UAV 2,CHARGING_START,Start charging
43,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 18.7%"
43,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
43,AGV 2,UAV 1,CHARGING_START,Start charging
43,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 20.0%"
43,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
43,AGV 2,UAV 2,CHARGING_START,Start charging
44,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 19.7%"
44,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
44,AGV 2,UAV 1,CHARGING_START,Start charging
44,UAV 2,Control Center,LOW_BATTERY,Battery level: 22.7%
45,UAV 1,Control Center,LOW_BATTERY,Battery level: 20.7%
45,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 5.6%"
45,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
45,AGV 2,UAV 2,CHARGING_START,Start charging
46,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 1.8%"
46,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
46,AGV 2,UAV 1,CHARGING_START,Start charging
46,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 8.4%"
46,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
46,AGV 2,UAV 2,CHARGING_START,Start charging
47,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
47,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 2.9%"
47,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
47,AGV 2,UAV 1,CHARGING_START,Start charging
47,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 11.4%"
47,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
47,AGV 2,UAV 2,CHARGING_START,Start charging
48,UAV 1,Control Center,LOW_BATTERY,Battery level: 22.9%
48,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 14.3%"
48,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
48,AGV 2,UAV 2,CHARGING_START,Start charging
49,UAV 1,Control Center,LOW_BATTERY,Battery level: 22.9%
49,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 17.3%"
49,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
49,AGV 2,UAV 2,CHARGING_START,Start charging
50,UAV 1,Control Center,LOW_BATTERY,Battery level: 22.9%
50,UAV 2,Control Center,LOW_BATTERY,Battery level: 20.3%
51,UAV 1,Control Center,LOW_BATTERY,Battery level: 22.9%
51,UAV 2,Control Center,TASK_COMPLETE,Complete task 4
51,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 3.4%"
51,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
51,AGV 2,UAV 2,CHARGING_START,Start charging
